,location,gender,rent,lowerage,upperage
59,Friedrichshain-Kreuzberg,male,650,40,63
60,Reinickendorf,unknown,600,24,44
61,Marzahn-Hellersdorf,female,750,36,50
62,Neukoelln,unknown,800,39,48
63,Pankow,female,600,49,61
64,Pankow,male,700,20,31
65,Treptow-Koepenick,unknown,500,24,31
66,Spandau,unknown,750,44,56
67,Treptow-Koepenick,male,550,45,56
68,Spandau,male,800,21,36
69,Friedrichshain-Kreuzberg,male,750,26,34
70,Mitte,male,700,20,27
71,Marzahn-Hellersdorf,female,500,47,54
72,Pankow,male,750,41,61
73,Reinickendorf,male,700,32,42
74,Friedrichshain-Kreuzberg,unknown,750,30,33
75,Tempelhof-Schoeneberg,unknown,450,33,45
76,Charlottenburg-Wilmersdorf,unknown,750,31,41
77,Treptow-Koepenick,unknown,650,24,43
78,Tempelhof-Schoeneberg,unknown,500,18,21
79,Pankow,female,400,25,39
80,Pankow,female,750,31,45
81,Lichtenberg,unknown,400,37,43
82,Marzahn-Hellersdorf,female,750,31,50
83,Pankow,male,650,26,28
84,Reinickendorf,male,800,34,48
85,Tempelhof-Schoeneberg,female,600,24,28
86,Charlottenburg-Wilmersdorf,female,650,36,54
87,Lichtenberg,male,550,31,52
88,Neukoelln,unknown,550,36,47
89,Charlottenburg-Wilmersdorf,unknown,450,39,41
90,Reinickendorf,female,600,39,50
91,Charlottenburg-Wilmersdorf,female,800,41,48
92,Spandau,unknown,500,48,63
93,Charlottenburg-Wilmersdorf,unknown,650,45,68
94,Charlottenburg-Wilmersdorf,unknown,400,35,59
95,Treptow-Koepenick,unknown,650,37,56
96,Charlottenburg-Wilmersdorf,female,600,22,33
97,Tempelhof-Schoeneberg,unknown,500,48,56
98,Lichtenberg,unknown,600,18,23
99,Spandau,female,700,40,61
100,Pankow,unknown,700,18,31
101,Marzahn-Hellersdorf,unknown,750,22,46
102,Friedrichshain-Kreuzberg,female,550,33,46
103,Pankow,female,750,22,40
104,Spandau,unknown,750,49,58
105,Treptow-Koepenick,male,650,20,36
106,Lichtenberg,unknown,600,35,48
107,Reinickendorf,male,550,24,33
108,Spandau,female,800,48,58
109,Pankow,unknown,450,37,54
110,Tempelhof-Schoeneberg,unknown,550,48,61
111,Steglitz-Zehlendorf,unknown,750,21,22
112,Tempelhof-Schoeneberg,female,400,31,37
113,Treptow-Koepenick,female,500,47,55
114,Lichtenberg,female,600,22,37
115,Neukoelln,female,450,35,57
116,Pankow,male,700,38,45
117,Treptow-Koepenick,unknown,500,41,56
118,Steglitz-Zehlendorf,unknown,750,33,35
119,Tempelhof-Schoeneberg,male,600,31,44
120,Lichtenberg,unknown,450,32,33
121,Friedrichshain-Kreuzberg,female,450,29,34
122,Tempelhof-Schoeneberg,male,500,28,39
123,Lichtenberg,male,750,29,51
124,Treptow-Koepenick,female,600,37,40
125,Steglitz-Zehlendorf,male,700,45,64
126,Charlottenburg-Wilmersdorf,male,700,35,39
127,Friedrichshain-Kreuzberg,unknown,700,27,50
128,Steglitz-Zehlendorf,unknown,550,32,36
129,Spandau,female,700,20,24
130,Steglitz-Zehlendorf,female,700,46,58
131,Charlottenburg-Wilmersdorf,female,500,20,27
132,Mitte,female,450,47,57
133,Marzahn-Hellersdorf,unknown,700,30,45
134,Reinickendorf,female,800,43,66
135,Neukoelln,male,400,30,46
136,Friedrichshain-Kreuzberg,unknown,650,28,51
137,Neukoelln,unknown,450,21,31
138,Marzahn-Hellersdorf,male,450,37,53
139,Charlottenburg-Wilmersdorf,male,400,27,50
140,Reinickendorf,unknown,750,26,33
141,Reinickendorf,female,650,42,44
142,Charlottenburg-Wilmersdorf,unknown,700,31,35
143,Tempelhof-Schoeneberg,unknown,600,35,36
144,Lichtenberg,unknown,450,42,49
145,Friedrichshain-Kreuzberg,male,650,46,62
146,Neukoelln,male,500,29,32
147,Mitte,male,750,30,37
148,Spandau,male,500,36,58
149,Lichtenberg,male,600,48,58
150,Charlottenburg-Wilmersdorf,male,600,30,36
151,Tempelhof-Schoeneberg,male,750,40,58
152,Steglitz-Zehlendorf,female,700,36,59
153,Friedrichshain-Kreuzberg,female,800,18,30
154,Lichtenberg,female,700,48,52
155,Mitte,female,400,29,53
156,Charlottenburg-Wilmersdorf,female,650,47,48
157,Tempelhof-Schoeneberg,male,350,24,36
158,Steglitz-Zehlendorf,female,600,44,67
159,Lichtenberg,male,600,18,42
160,Marzahn-Hellersdorf,male,650,42,45
161,Tempelhof-Schoeneberg,female,450,46,55
162,Charlottenburg-Wilmersdorf,unknown,500,27,49
163,Tempelhof-Schoeneberg,male,500,32,55
164,Spandau,male,600,47,50
165,Lichtenberg,unknown,600,36,48
166,Friedrichshain-Kreuzberg,unknown,550,41,65
167,Neukoelln,unknown,450,38,46
168,Reinickendorf,unknown,400,38,50
169,Tempelhof-Schoeneberg,unknown,400,34,50
170,Treptow-Koepenick,female,550,46,67
171,Pankow,unknown,700,24,29
172,Tempelhof-Schoeneberg,male,550,43,62
173,Pankow,unknown,500,35,40
174,Neukoelln,unknown,500,48,66
175,Friedrichshain-Kreuzberg,female,550,24,32
176,Neukoelln,unknown,550,24,41
177,Lichtenberg,unknown,650,47,49
178,Marzahn-Hellersdorf,unknown,550,33,37
179,Charlottenburg-Wilmersdorf,unknown,650,24,47
180,Treptow-Koepenick,female,550,34,47
181,Treptow-Koepenick,unknown,550,44,57
182,Neukoelln,unknown,400,33,50
183,Spandau,male,750,21,32
184,Neukoelln,unknown,450,48,51
185,Neukoelln,unknown,800,30,34
186,Lichtenberg,unknown,600,43,51
187,Pankow,unknown,550,19,40
188,Steglitz-Zehlendorf,male,750,29,46
189,Charlottenburg-Wilmersdorf,female,700,40,64
190,Friedrichshain-Kreuzberg,male,550,47,61
191,Marzahn-Hellersdorf,female,650,21,36
192,Friedrichshain-Kreuzberg,female,400,43,64
193,Lichtenberg,male,400,43,44
194,Tempelhof-Schoeneberg,male,800,42,66
195,Pankow,female,450,27,46
196,Spandau,unknown,750,23,41
197,Tempelhof-Schoeneberg,male,600,21,42
198,Steglitz-Zehlendorf,unknown,650,34,53
199,Pankow,unknown,650,20,26
200,Friedrichshain-Kreuzberg,female,550,19,35
201,Marzahn-Hellersdorf,female,750,39,57
202,Marzahn-Hellersdorf,female,800,41,63
203,Treptow-Koepenick,female,650,28,45
204,Pankow,female,700,34,56
205,Tempelhof-Schoeneberg,male,450,22,34
206,Lichtenberg,male,600,27,49
207,Spandau,male,650,47,68
208,Lichtenberg,male,800,31,46
209,Spandau,female,450,21,29
210,Lichtenberg,unknown,600,21,26
211,Marzahn-Hellersdorf,unknown,650,44,45
212,Mitte,female,800,46,50
213,Tempelhof-Schoeneberg,unknown,450,35,45
214,Steglitz-Zehlendorf,male,750,48,70
215,Reinickendorf,female,500,42,62
216,Mitte,female,550,49,52
217,Mitte,female,450,40,57
218,Mitte,male,800,47,58
219,Neukoelln,male,400,40,58
220,Friedrichshain-Kreuzberg,male,700,33,45
221,Reinickendorf,male,750,48,71
222,Tempelhof-Schoeneberg,unknown,650,37,42
223,Steglitz-Zehlendorf,unknown,650,38,45
224,Treptow-Koepenick,female,600,23,26
225,Reinickendorf,unknown,400,30,48
226,Pankow,unknown,600,36,58
227,Spandau,unknown,600,28,41
228,Tempelhof-Schoeneberg,male,350,43,46
229,Treptow-Koepenick,female,500,18,24
230,Spandau,male,800,46,51
231,Steglitz-Zehlendorf,male,700,34,38
232,Friedrichshain-Kreuzberg,unknown,650,48,50
233,Steglitz-Zehlendorf,female,750,22,26
234,Steglitz-Zehlendorf,male,400,20,38
235,Charlottenburg-Wilmersdorf,unknown,400,22,35
236,Charlottenburg-Wilmersdorf,female,550,32,47
237,Marzahn-Hellersdorf,female,650,31,41
238,Mitte,unknown,400,37,51
239,Treptow-Koepenick,female,750,44,58
240,Mitte,unknown,750,45,59
241,Marzahn-Hellersdorf,unknown,700,38,47
242,Steglitz-Zehlendorf,female,500,38,41
243,Lichtenberg,male,450,41,44
244,Tempelhof-Schoeneberg,unknown,550,43,65
245,Spandau,unknown,450,23,31
246,Treptow-Koepenick,female,550,30,44
247,Friedrichshain-Kreuzberg,female,500,21,36
248,Spandau,male,450,34,44
249,Tempelhof-Schoeneberg,female,750,20,31
250,Lichtenberg,male,750,38,41
251,Pankow,unknown,400,29,51
252,Steglitz-Zehlendorf,male,800,25,32
253,Spandau,male,600,23,38
254,Marzahn-Hellersdorf,unknown,750,44,57
255,Tempelhof-Schoeneberg,female,400,21,43
256,Reinickendorf,female,600,22,35
257,Spandau,male,800,41,46
258,Spandau,unknown,400,19,26
259,Steglitz-Zehlendorf,male,750,38,48
260,Steglitz-Zehlendorf,female,800,37,48
261,Treptow-Koepenick,female,650,27,47
262,Lichtenberg,male,550,45,53
263,Tempelhof-Schoeneberg,female,500,46,47
264,Pankow,unknown,800,27,30
265,Steglitz-Zehlendorf,female,800,46,66
266,Friedrichshain-Kreuzberg,male,750,44,46
267,Tempelhof-Schoeneberg,male,450,44,62
268,Neukoelln,female,400,25,48
269,Tempelhof-Schoeneberg,unknown,650,20,28
270,Reinickendorf,unknown,600,33,34
271,Pankow,unknown,550,19,24
272,Tempelhof-Schoeneberg,male,450,18,41
273,Friedrichshain-Kreuzberg,male,400,49,69
274,Marzahn-Hellersdorf,male,400,49,51
275,Mitte,unknown,600,35,46
276,Neukoelln,female,550,30,47
277,Marzahn-Hellersdorf,male,500,34,43
278,Mitte,female,750,40,50
279,Friedrichshain-Kreuzberg,unknown,550,30,52
280,Treptow-Koepenick,male,550,25,46
281,Marzahn-Hellersdorf,male,600,26,39
282,Spandau,unknown,800,20,23
283,Marzahn-Hellersdorf,female,550,48,62
284,Pankow,unknown,400,44,53
285,Steglitz-Zehlendorf,unknown,550,24,26
286,Pankow,female,400,48,49
287,Steglitz-Zehlendorf,female,450,30,41
288,Friedrichshain-Kreuzberg,female,650,27,42
289,Pankow,female,800,29,51
290,Friedrichshain-Kreuzberg,unknown,800,27,47
291,Mitte,unknown,800,45,56
292,Pankow,unknown,550,47,58
293,Lichtenberg,male,700,26,40
294,Lichtenberg,female,400,46,57
295,Lichtenberg,unknown,650,20,44
296,Marzahn-Hellersdorf,unknown,800,49,60
297,Charlottenburg-Wilmersdorf,unknown,450,25,41
298,Spandau,female,700,19,43
299,Marzahn-Hellersdorf,male,500,32,35
300,Pankow,unknown,800,38,53
301,Spandau,unknown,650,35,38
302,Spandau,unknown,400,47,58
303,Reinickendorf,unknown,700,43,46
304,Steglitz-Zehlendorf,male,750,28,41
305,Neukoelln,male,650,48,63
306,Treptow-Koepenick,female,650,36,46
307,Pankow,female,500,41,63
308,Friedrichshain-Kreuzberg,unknown,400,32,39
309,Spandau,female,800,44,49
310,Spandau,male,700,21,35
311,Friedrichshain-Kreuzberg,male,450,25,31
312,Marzahn-Hellersdorf,unknown,550,49,73
313,Neukoelln,unknown,400,21,27
314,Tempelhof-Schoeneberg,female,600,43,60
315,Neukoelln,male,700,43,59
316,Charlottenburg-Wilmersdorf,female,750,46,48
317,Friedrichshain-Kreuzberg,unknown,700,27,51
318,Treptow-Koepenick,female,400,26,43
319,Reinickendorf,female,500,22,44
320,Friedrichshain-Kreuzberg,unknown,500,23,38
321,Mitte,male,500,20,29
322,Lichtenberg,female,700,42,51
323,Reinickendorf,unknown,650,29,43
324,Friedrichshain-Kreuzberg,unknown,400,21,43
325,Neukoelln,unknown,750,33,34
326,Treptow-Koepenick,unknown,700,20,37
327,Marzahn-Hellersdorf,male,750,35,58
328,Lichtenberg,unknown,400,30,39
329,Mitte,male,700,19,26
330,Pankow,female,650,29,33
331,Mitte,female,750,32,51
332,Charlottenburg-Wilmersdorf,female,500,32,47
333,Reinickendorf,unknown,800,30,32
334,Treptow-Koepenick,male,700,34,53
335,Marzahn-Hellersdorf,female,500,26,35
336,Reinickendorf,unknown,400,29,34
337,Charlottenburg-Wilmersdorf,male,500,39,47
338,Charlottenburg-Wilmersdorf,unknown,550,34,39
339,Reinickendorf,unknown,750,36,45
340,Friedrichshain-Kreuzberg,female,750,37,40
341,Spandau,unknown,450,22,24
342,Mitte,male,400,18,28
343,Charlottenburg-Wilmersdorf,male,500,22,30
344,Treptow-Koepenick,female,450,42,62
345,Treptow-Koepenick,male,800,35,37
346,Friedrichshain-Kreuzberg,male,700,47,57
347,Pankow,unknown,600,20,33
348,Pankow,male,750,48,57
349,Charlottenburg-Wilmersdorf,female,700,26,36
350,Spandau,male,650,32,49
351,Neukoelln,male,650,48,65
352,Steglitz-Zehlendorf,female,700,34,56
353,Tempelhof-Schoeneberg,female,750,26,41
354,Mitte,unknown,500,22,44
355,Steglitz-Zehlendorf,unknown,550,29,46
356,Steglitz-Zehlendorf,female,800,30,31
357,Mitte,male,750,35,55
358,Charlottenburg-Wilmersdorf,unknown,550,42,64
359,Tempelhof-Schoeneberg,male,700,39,42
360,Marzahn-Hellersdorf,female,400,42,46
361,Tempelhof-Schoeneberg,female,650,43,63
362,Friedrichshain-Kreuzberg,unknown,700,36,52
363,Marzahn-Hellersdorf,female,400,24,37
364,Tempelhof-Schoeneberg,female,750,24,40
365,Tempelhof-Schoeneberg,unknown,800,44,59
366,Lichtenberg,unknown,800,22,38
367,Treptow-Koepenick,female,800,47,51
368,Mitte,male,700,35,48
369,Neukoelln,unknown,550,34,58
370,Mitte,female,500,19,39
371,Lichtenberg,male,650,39,42
372,Charlottenburg-Wilmersdorf,unknown,650,33,54
373,Steglitz-Zehlendorf,male,600,26,39
374,Reinickendorf,female,450,40,56
375,Spandau,female,500,21,31
376,Pankow,female,600,42,65
377,Pankow,male,700,43,55
378,Mitte,male,600,30,36
379,Friedrichshain-Kreuzberg,unknown,750,40,60
380,Reinickendorf,female,800,25,33
381,Tempelhof-Schoeneberg,unknown,750,48,60
382,Marzahn-Hellersdorf,female,800,42,47
383,Charlottenburg-Wilmersdorf,unknown,600,23,26
384,Charlottenburg-Wilmersdorf,female,800,42,49
385,Charlottenburg-Wilmersdorf,female,800,35,48
386,Treptow-Koepenick,male,650,42,59
387,Steglitz-Zehlendorf,female,550,33,55
388,Treptow-Koepenick,unknown,500,31,42
389,Tempelhof-Schoeneberg,unknown,700,40,62
390,Neukoelln,male,750,25,43
391,Steglitz-Zehlendorf,male,650,47,67
392,Reinickendorf,male,700,49,65
393,Lichtenberg,male,400,46,53
394,Treptow-Koepenick,male,700,38,55
395,Reinickendorf,female,500,35,49
396,Mitte,male,400,48,68
397,Steglitz-Zehlendorf,female,500,22,46
398,Treptow-Koepenick,female,650,43,46
399,Tempelhof-Schoeneberg,female,500,38,46
400,Steglitz-Zehlendorf,male,550,44,58
401,Tempelhof-Schoeneberg,male,750,21,23
402,Marzahn-Hellersdorf,female,550,45,63
403,Friedrichshain-Kreuzberg,male,400,37,58
404,Mitte,unknown,450,29,53
405,Charlottenburg-Wilmersdorf,female,550,26,28
406,Lichtenberg,female,450,40,44
407,Lichtenberg,unknown,700,41,56
408,Friedrichshain-Kreuzberg,male,600,34,40
409,Friedrichshain-Kreuzberg,unknown,700,37,40
410,Mitte,male,650,27,36
411,Treptow-Koepenick,unknown,600,20,24
412,Mitte,female,800,44,58
413,Lichtenberg,female,600,26,27
414,Marzahn-Hellersdorf,female,650,29,46
415,Tempelhof-Schoeneberg,female,650,33,47
416,Neukoelln,male,800,29,36
417,Charlottenburg-Wilmersdorf,female,800,39,58
418,Marzahn-Hellersdorf,male,500,39,49
419,Mitte,unknown,400,32,56
420,Mitte,male,750,44,55
421,Charlottenburg-Wilmersdorf,female,700,47,56
422,Friedrichshain-Kreuzberg,unknown,550,32,42
423,Neukoelln,female,600,45,56
424,Treptow-Koepenick,male,700,32,47
425,Marzahn-Hellersdorf,female,800,28,36
426,Treptow-Koepenick,male,450,20,30
427,Spandau,unknown,700,24,29
428,Spandau,female,550,42,62
429,Treptow-Koepenick,female,550,42,65
430,Friedrichshain-Kreuzberg,female,450,45,54
431,Treptow-Koepenick,unknown,450,32,53
432,Mitte,unknown,750,19,20
433,Charlottenburg-Wilmersdorf,male,600,19,37
434,Mitte,unknown,650,18,40
435,Neukoelln,male,600,38,48
436,Neukoelln,female,400,24,38
437,Tempelhof-Schoeneberg,unknown,500,43,46
438,Friedrichshain-Kreuzberg,male,600,20,38
439,Pankow,unknown,700,18,27
440,Tempelhof-Schoeneberg,female,500,31,45
441,Tempelhof-Schoeneberg,female,500,23,40
442,Mitte,male,400,28,41
443,Pankow,female,650,24,43
444,Charlottenburg-Wilmersdorf,female,750,36,53
445,Friedrichshain-Kreuzberg,unknown,800,34,46
446,Mitte,female,550,43,67
447,Mitte,female,800,45,57
448,Marzahn-Hellersdorf,female,700,38,45
449,Marzahn-Hellersdorf,unknown,550,35,57
450,Marzahn-Hellersdorf,male,450,18,39
451,Spandau,female,550,18,31
452,Marzahn-Hellersdorf,male,500,41,65
453,Lichtenberg,female,550,30,49
454,Steglitz-Zehlendorf,male,500,43,56
455,Treptow-Koepenick,male,450,32,53
456,Steglitz-Zehlendorf,unknown,750,46,60
457,Steglitz-Zehlendorf,female,550,28,49
458,Neukoelln,female,750,47,51
459,Reinickendorf,male,600,22,25
460,Mitte,male,500,41,65
461,Spandau,female,450,25,30
462,Mitte,female,650,33,34
463,Spandau,male,600,43,57
464,Charlottenburg-Wilmersdorf,female,600,38,60
465,Mitte,female,750,18,35
466,Treptow-Koepenick,female,500,36,44
467,Pankow,unknown,550,20,30
468,Charlottenburg-Wilmersdorf,female,500,49,50
469,Friedrichshain-Kreuzberg,female,500,33,48
470,Friedrichshain-Kreuzberg,female,500,47,60
471,Tempelhof-Schoeneberg,female,750,39,50
472,Lichtenberg,male,550,37,46
473,Neukoelln,male,750,42,56
474,Pankow,male,700,31,46
475,Spandau,female,400,44,57
476,Pankow,female,500,19,37
477,Tempelhof-Schoeneberg,female,650,42,50
478,Lichtenberg,male,650,25,26
479,Mitte,female,650,43,58
480,Pankow,male,700,23,38
481,Marzahn-Hellersdorf,female,450,34,46
482,Friedrichshain-Kreuzberg,male,400,38,43
483,Tempelhof-Schoeneberg,female,450,40,45
484,Reinickendorf,unknown,600,43,45
485,Pankow,male,500,20,35
486,Marzahn-Hellersdorf,unknown,800,24,32
487,Lichtenberg,unknown,800,34,58
488,Treptow-Koepenick,unknown,400,38,52
489,Tempelhof-Schoeneberg,male,450,29,42
490,Friedrichshain-Kreuzberg,male,800,38,41
491,Charlottenburg-Wilmersdorf,female,800,41,44
492,Lichtenberg,male,750,31,44
493,Reinickendorf,male,450,26,40
494,Reinickendorf,female,750,37,40
495,Charlottenburg-Wilmersdorf,unknown,750,47,60
496,Spandau,female,750,37,48
497,Spandau,female,600,37,39
498,Pankow,unknown,400,34,51
499,Neukoelln,unknown,750,32,52
500,Treptow-Koepenick,male,400,25,46
501,Mitte,male,650,32,46
502,Mitte,male,450,47,64
503,Marzahn-Hellersdorf,male,450,37,45
504,Neukoelln,female,450,30,44
505,Spandau,female,450,20,40
506,Neukoelln,male,700,27,43
507,Spandau,female,600,39,44
508,Tempelhof-Schoeneberg,male,750,39,43
509,Friedrichshain-Kreuzberg,female,650,21,26
510,Charlottenburg-Wilmersdorf,female,400,20,36
511,Spandau,unknown,600,37,58
512,Treptow-Koepenick,female,400,22,37
513,Charlottenburg-Wilmersdorf,female,800,21,43
514,Charlottenburg-Wilmersdorf,unknown,450,30,44
515,Neukoelln,female,800,24,43
516,Tempelhof-Schoeneberg,unknown,650,21,43
517,Steglitz-Zehlendorf,female,800,25,32
518,Mitte,female,800,31,42
519,Marzahn-Hellersdorf,unknown,550,43,48
520,Pankow,unknown,500,35,36
521,Pankow,unknown,600,30,37
522,Steglitz-Zehlendorf,male,500,43,55
523,Mitte,female,400,29,30
524,Mitte,male,600,47,49
525,Steglitz-Zehlendorf,male,750,31,47
526,Tempelhof-Schoeneberg,unknown,400,44,47
527,Pankow,female,450,36,41
528,Pankow,male,800,21,25
529,Mitte,male,750,28,35
530,Mitte,unknown,750,22,37
531,Lichtenberg,female,550,27,33
532,Pankow,unknown,750,41,64
533,Neukoelln,male,400,19,39
534,Treptow-Koepenick,unknown,450,35,50
535,Mitte,female,700,44,54
536,Reinickendorf,unknown,550,36,42
537,Treptow-Koepenick,female,600,23,38
538,Treptow-Koepenick,female,450,45,58
539,Reinickendorf,female,550,44,57
540,Reinickendorf,unknown,700,22,26
541,Mitte,female,700,44,45
542,Mitte,male,450,32,42
543,Marzahn-Hellersdorf,unknown,700,40,50
544,Tempelhof-Schoeneberg,female,400,46,55
545,Friedrichshain-Kreuzberg,female,800,22,38
546,Steglitz-Zehlendorf,male,700,42,56
547,Steglitz-Zehlendorf,male,750,45,58
548,Steglitz-Zehlendorf,female,750,39,41
549,Marzahn-Hellersdorf,female,600,23,40
550,Pankow,male,750,25,40
551,Treptow-Koepenick,unknown,450,44,48
552,Charlottenburg-Wilmersdorf,female,400,38,60
553,Pankow,male,800,28,29
554,Pankow,female,500,36,47
555,Treptow-Koepenick,unknown,650,41,56
556,Tempelhof-Schoeneberg,female,600,39,55
557,Mitte,male,700,23,40
558,Pankow,male,600,38,46
559,Pankow,male,600,39,43
560,Tempelhof-Schoeneberg,unknown,450,46,53
561,Spandau,unknown,400,35,53
562,Reinickendorf,unknown,500,43,63
563,Steglitz-Zehlendorf,male,550,20,29
564,Lichtenberg,male,800,21,35
565,Charlottenburg-Wilmersdorf,male,750,25,33
566,Friedrichshain-Kreuzberg,female,750,24,28
567,Mitte,female,500,23,44
568,Steglitz-Zehlendorf,unknown,750,46,54
569,Spandau,male,600,31,35
570,Pankow,female,700,18,41
571,Tempelhof-Schoeneberg,unknown,400,42,49
572,Lichtenberg,male,600,21,31
573,Steglitz-Zehlendorf,female,600,36,43
574,Marzahn-Hellersdorf,unknown,400,34,44
575,Reinickendorf,male,700,48,50
576,Neukoelln,male,450,43,48
577,Treptow-Koepenick,male,800,39,44
578,Neukoelln,female,800,38,53
579,Friedrichshain-Kreuzberg,female,650,26,38
580,Pankow,female,500,47,49
581,Treptow-Koepenick,male,450,32,45
582,Charlottenburg-Wilmersdorf,male,500,38,52
583,Pankow,female,700,27,34
584,Mitte,female,600,48,65
585,Charlottenburg-Wilmersdorf,female,650,41,43
586,Treptow-Koepenick,unknown,800,48,55
587,Tempelhof-Schoeneberg,unknown,500,38,54
588,Tempelhof-Schoeneberg,unknown,450,30,42
589,Tempelhof-Schoeneberg,male,400,37,57
590,Charlottenburg-Wilmersdorf,male,650,18,22
591,Neukoelln,female,600,32,50
592,Charlottenburg-Wilmersdorf,female,600,36,54
593,Mitte,female,600,23,46
594,Reinickendorf,male,400,27,37
595,Tempelhof-Schoeneberg,female,450,24,35
596,Friedrichshain-Kreuzberg,female,700,48,54
597,Neukoelln,unknown,650,27,48
598,Friedrichshain-Kreuzberg,male,550,28,44
599,Reinickendorf,female,450,48,63
600,Pankow,unknown,700,37,56
601,Mitte,female,700,38,39
602,Reinickendorf,male,450,29,40
603,Pankow,unknown,800,46,52
604,Friedrichshain-Kreuzberg,male,650,24,34
605,Treptow-Koepenick,female,600,41,48
606,Treptow-Koepenick,male,550,33,47
607,Steglitz-Zehlendorf,female,500,18,21
608,Steglitz-Zehlendorf,female,500,41,43
609,Friedrichshain-Kreuzberg,male,550,35,51
610,Friedrichshain-Kreuzberg,unknown,750,35,41
611,Lichtenberg,unknown,450,23,34
612,Lichtenberg,female,400,37,56
613,Steglitz-Zehlendorf,female,700,30,31
614,Pankow,female,550,38,41
615,Tempelhof-Schoeneberg,male,400,49,51
616,Tempelhof-Schoeneberg,unknown,500,49,58
617,Marzahn-Hellersdorf,female,600,25,37
618,Charlottenburg-Wilmersdorf,unknown,500,36,49
619,Treptow-Koepenick,female,500,49,70
620,Lichtenberg,unknown,350,48,70
621,Marzahn-Hellersdorf,female,700,18,26
622,Charlottenburg-Wilmersdorf,unknown,400,18,37
623,Tempelhof-Schoeneberg,unknown,700,32,37
624,Steglitz-Zehlendorf,female,800,18,34
625,Neukoelln,unknown,750,22,44
626,Reinickendorf,male,550,29,42
627,Steglitz-Zehlendorf,male,450,34,43
628,Friedrichshain-Kreuzberg,unknown,600,23,45
629,Steglitz-Zehlendorf,unknown,500,31,54
630,Marzahn-Hellersdorf,unknown,650,42,64
631,Steglitz-Zehlendorf,male,700,33,48
632,Pankow,female,600,19,29
633,Treptow-Koepenick,female,550,34,37
634,Lichtenberg,female,550,19,27
635,Friedrichshain-Kreuzberg,unknown,800,46,70
636,Steglitz-Zehlendorf,male,400,21,37
637,Lichtenberg,male,600,31,34
638,Tempelhof-Schoeneberg,male,550,19,35
639,Tempelhof-Schoeneberg,female,400,24,30
640,Mitte,female,750,31,51
641,Reinickendorf,male,700,28,32
642,Spandau,unknown,600,20,25
643,Neukoelln,unknown,400,41,57
644,Pankow,unknown,600,25,43
645,Spandau,male,450,48,58
646,Steglitz-Zehlendorf,female,550,30,35
647,Lichtenberg,unknown,550,19,42
648,Charlottenburg-Wilmersdorf,male,550,43,59
649,Friedrichshain-Kreuzberg,male,750,33,48
650,Treptow-Koepenick,female,400,25,26
651,Mitte,male,800,20,22
652,Friedrichshain-Kreuzberg,male,800,39,42
653,Marzahn-Hellersdorf,unknown,450,36,40
654,Spandau,male,650,33,52
655,Marzahn-Hellersdorf,male,500,24,36
656,Charlottenburg-Wilmersdorf,male,500,37,49
657,Steglitz-Zehlendorf,male,750,43,51
